year,co2_on_p05_ppm,co2_on_p50_ppm,co2_on_p95_ppm,co2_off_p05_ppm,co2_off_p50_ppm,co2_off_p95_ppm,tas_on_p50_c,tas_off_p50_c
2176,308.8856462055694,311.8477396452747,314.4624294093988,387.789111989203,407.4953352822406,421.2614225545284,1.221222236482537,2.019836375538801
2177,308.8335422799169,311.80222716808737,314.4321962149497,387.74909911576447,407.4482939263139,421.2990810824855,1.2170855258328228,2.0150490917091974
2178,308.81829379356395,311.75502713775063,314.38886992152516,387.70844150385244,407.40161611386475,421.3350262599712,1.2228592328263157,2.0261297199307697
2179,308.79855383544145,311.7312013602398,314.3270121622761,387.6701860964542,407.35571439837054,421.37030911584736,1.2138433874399,2.0107240121744883
2180,308.7655792358267,311.6882537147985,314.2830116066442,387.63393805480945,407.3107183284725,421.40642697001635,1.216832029400247,2.0131389247202995
2181,308.71618084338303,311.6519648984156,314.22986167569275,387.59697390942586,407.26614360522166,421.4465557301041,1.1974790597905471,2.016528105701426
2182,308.68781876141384,311.5981521548988,314.173508096253,387.5569674331743,407.2222166012664,421.47930487933024,1.1877756637547285,2.0114516948564383
2183,308.64957555770553,311.55294460175446,314.13418527015324,387.5135555238207,407.17873124777145,421.4903158473984,1.186669547480903,1.9929131627841585
2184,308.63246510343345,311.5065674538344,314.0871105891665,387.47446444874794,407.1208464116885,421.51090579215384,1.1799289723943698,2.004038316894666
2185,308.61242290916715,311.4362966583129,314.0371387147924,387.4332087934157,407.0715666081453,421.5275955164405,1.1941397898560437,1.993869737952283
2186,308.5844848533922,311.3691545814208,313.99363850206873,387.39759858872117,407.04494902827713,421.548920508456,1.1798108271178185,2.0062269193300426
2187,308.5452711675648,311.31781597030545,313.94109802966034,387.36369432953967,407.0051513338885,421.55353310159114,1.1731817041689034,1.992925689348589
2188,308.5043036205231,311.2538372840495,313.8683227244291,387.3277862235283,406.96036146731495,421.55523711886997,1.1887036333081844,2.032237447893215
2189,308.46158326478786,311.1939205455144,313.81387539314414,387.29712723726857,406.9175685598312,421.55529193955806,1.1846098692030496,2.0217802270902574
2190,308.4136183748269,311.1317904996381,313.76324452089335,387.25962212097284,406.8491106792189,421.5707149058611,1.188793094345479,2.0250400000761584
2191,308.34245671036064,311.05750876943904,313.69018673485175,387.2069651893652,406.79589656901624,421.582748832471,1.1889742978757583,2.0299462742534096
2192,308.26385962430396,310.9947470643065,313.6020083788355,387.1572744323312,406.7334341705716,421.6065727810942,1.1907807300780817,2.0098311259790798
2193,308.20096418204093,310.9369829231647,313.5354100431272,387.1105906729877,406.70459585735654,421.62401421409,1.1713452117820624,2.005757137668188
2194,308.13180411938384,310.88192356778393,313.4527835543647,387.06468178378094,406.6774435896086,421.6548516912769,1.1801507735003995,2.01557730188178
2195,308.05742148417426,310.79624913431627,313.3614419658459,387.01556617095775,406.6478240601802,421.67967001931714,1.1704841826743448,2.0123609538881295
2196,307.981238478502,310.7257656387532,313.2791757530203,386.96995023109855,406.6217613189919,421.70127522627354,1.17127178545694,2.001984167981359
2197,307.88925230300674,310.6484119854126,313.20028169594207,386.93357046615256,406.593560493582,421.7122244832758,1.1738695361095484,2.0123814401895643
2198,307.8286198987557,310.57209630129745,313.1150261974654,386.91996447496456,406.5654172345691,421.7447285647475,1.168584960118058,2.0145458945212105
2199,307.74385746819155,310.4948190844377,313.021418477644,386.9029600266641,406.5396906797939,421.77811536454055,1.1875267941926235,2.013725642070034
2200,307.6496299724646,310.41883220702977,312.93716488860855,386.88552458290013,406.5173547707398,421.81082450764006,1.1789146818966667,2.0267978489830925
2201,307.5454903344007,310.3323998390896,312.85393988204,386.86889185725994,406.4867393314664,421.8176069355419,1.1814095659248127,2.030746380844871
2202,307.45280548173764,310.2399490371815,312.7815776127951,386.8540062910935,406.4629644521805,421.8396263731265,1.1944079411940867,2.0466438563257494
2203,307.375948291519,310.14680234992034,312.69984430420817,386.8482728604216,406.43972495938164,421.8718224952885,1.1768759761429108,2.019661719047097
2204,307.30349884677366,310.0653227796433,312.62171560539565,386.8479384790414,406.4168700642623,421.8996912287477,1.1661642888109733,2.0136864000199086
2205,307.21211023987746,309.9819815486558,312.53847282268987,386.84714891859704,406.3918399255928,421.9121365475112,1.1512753214117306,2.0240294181857474
2206,307.15309300281524,309.899013950644,312.4566046895439,386.84821985516476,406.37126177188964,421.93718944325985,1.1442114533606607,2.000424385217016
2207,307.06201175761964,309.8233242916713,312.3746074636313,386.85532538553446,406.3540742046092,421.97416581875655,1.1499500524148187,2.0052251771435263
2208,306.98526648537324,309.74479060289104,312.2955143487048,386.8548954930112,406.3302261540548,422.003234106022,1.1511664664740993,2.0093747357788865
2209,306.9227981165522,309.6589402341186,312.19953032962553,386.86323819138073,406.3048178614741,422.04607160561176,1.151582983300057,2.0087326574947513
2210,306.86058634252163,309.59251131178775,312.10417679505434,386.87043908721347,406.2799268012536,422.0724255207518,1.1554523491962159,2.0054458992498647
2211,306.76878459505576,309.50611555338344,312.02184649084677,386.8729954725255,406.25566902936646,422.1076496501905,1.1344374755102455,1.9925707190247055
2212,306.7106280975884,309.4109980276222,311.94935377981744,386.88722840773926,406.2324392142102,422.1402852999912,1.1453482594282403,1.998888443917339
2213,306.65622793837576,309.32216617645423,311.8728321837917,386.8963011055135,406.20986854222406,422.14271445813404,1.1512540840677472,2.0160161849781537
2214,306.5783253346608,309.2263012851477,311.79132193565954,386.90038514482706,406.1880483518232,422.1617555578228,1.147452148051695,2.013060778411847
2215,306.4819488687564,309.15525447481946,311.69084289236633,386.8978103013502,406.16677211674903,422.2084802444999,1.1451590173264115,2.0224943626093004
2216,306.3794266389704,309.05514093618075,311.59624785228124,386.91144921944795,406.14575416386856,422.24977319801724,1.1468536429961507,2.0062278413147006
2217,306.27726828136446,308.9736626703623,311.53595276472777,386.9419721390442,406.12531426874546,422.26157721754316,1.1325681635932037,2.001713302101884
2218,306.1869853905138,308.8936986059776,311.4529818132361,386.9671917355106,406.1049282507282,422.2804630765561,1.1348074191678763,2.0106345191324704
2219,306.12891466674176,308.80891852469875,311.37656167892044,386.9812102686848,406.0820705602154,422.3483036717996,1.1165299468358938,1.9929871707831064
2220,306.0254395175896,308.72419498441513,311.2965091523039,386.98832754353907,406.0659366171874,422.4103341382124,1.115050071617816,2.0026768445237915
2221,305.9249620388158,308.6477358333199,311.24667849002776,386.9795617015603,406.0426201910726,422.47000225399114,1.1129056280866425,2.0076966213649166
2222,305.8393333248772,308.56643356331864,311.1805745277489,386.9798106418582,406.03152384951215,422.50006477007224,1.1207623960271498,2.018615415565072
2223,305.73896316482615,308.47951064654234,311.0987480515983,386.97940107956896,406.01441987133086,422.5402826383595,1.1272637904978364,2.0079516115899634
2224,305.6648657551335,308.3874183057814,311.01799516825594,386.97864905010647,405.99819563208575,422.5734592475037,1.1309676681250131,2.0327740810310764
2225,305.5816992605968,308.305462084928,310.93496925615545,386.97705644258417,405.98199714609734,422.6216362470037,1.1351911313443341,2.0177722117523142
2226,305.5098858990182,308.2346804835006,310.85480125536577,386.97906114370227,405.9662322451816,422.67130794365033,1.128925639011605,2.023016950701134
2227,305.4361485399004,308.15436572063965,310.7606662041232,386.9837442866023,405.9431796865455,422.7133331456706,1.1089849258726818,2.004695836863403
2228,305.3676780688717,308.06357015406405,310.6822702449608,386.98602989630126,405.91830426369495,422.7671814962988,1.1113129015758663,2.0037163746518196
2229,305.28277283497755,307.9715354483774,310.60060991733803,386.98932860382115,405.89014024152345,422.80232961655827,1.0905381742652556,1.9943094276708804
2230,305.18531332957656,307.8902928793958,310.51715079885446,386.9989196674747,405.8700292343026,422.82635281725,1.0865745440761947,1.979753133015633
2231,305.1062033490606,307.79808527607565,310.43909618844623,387.0112012078059,405.8516766454228,422.8449600715233,1.0955799467598037,1.9826899536147697
2232,305.0174114792803,307.7109148704878,310.3565074218792,387.03043820334904,405.82950026524384,422.86315779932016,1.110033017811211,2.0145077618092198
2233,304.9372192432569,307.6332359652405,310.27796005853384,387.0433480733718,405.81375543436036,422.90348834348026,1.0996709069542385,2.009733669043257
2234,304.84382158255556,307.53767209285826,310.21259382953417,387.05752891127327,405.79504730255076,422.9087901892858,1.1122781230909367,2.0113987282502612
2235,304.77662092342285,307.46191439337076,310.1312531568304,387.0714779153714,405.7858392941822,422.9373781521206,1.0951658916553544,1.9980162166003748
2236,304.70783010477624,307.3693602952983,310.05134438031934,387.0963122538821,405.7799277977326,422.96042266634674,1.100095101649525,2.0138603423566366
2237,304.63439288114586,307.2703140076608,309.97453534357635,387.123028910342,405.7712620527042,422.99231384615723,1.0891945159235787,2.0082395026001176
2238,304.5176883572538,307.1859054514345,309.89189172889564,387.1511352231564,405.76662817680887,423.0098227103799,1.0797416167984246,1.9931196739380863
2239,304.4061046715352,307.0980853195229,309.8150817008577,387.163895193127,405.7591912475854,423.0259494414477,1.0841546527658044,1.9944903701052565
2240,304.2847304814426,307.00583545973967,309.7348143712045,387.16378895969694,405.7544147431921,423.0431962338199,1.0705602635814997,1.9922222839440218
2241,304.1807292881173,306.9284983240778,309.66037897001763,387.1740853201399,405.74685080520237,423.0844242556317,1.0738876123989072,1.9750033178509845
2242,304.0904686113637,306.85159257247733,309.580312920396,387.21366673566814,405.726291347261,423.12407919012844,1.068263420020001,1.987415978649944
2243,304.02352423396775,306.76950966191947,309.51467897205436,387.24079457816475,405.71161571621053,423.1637666038232,1.080720622023836,1.9958309909561953
2244,303.9555114272293,306.69830437117446,309.4448722384423,387.2631303440335,405.6920808755202,423.21632886448117,1.0806041309208674,2.004818740313514
2245,303.856996888164,306.60528092289496,309.37912234995474,387.2885410424906,405.6573592176062,423.24562470626745,1.0772948260022124,2.0116089872497795
2246,303.7700755468276,306.5162299183246,309.31284367574557,387.3130420949635,405.6364700901629,423.27222700458424,1.0845264519452422,2.004395817826919
2247,303.68299584872165,306.43658375989673,309.24667619721635,387.3370903923136,405.61454591973086,423.3122755282542,1.0720407540762489,1.9898519164375885
2248,303.60575860621924,306.3602689867833,309.18071622733174,387.35818125412055,405.5974623800586,423.33536602578386,1.0606342418882626,1.9964458596767427
2249,303.539918353911,306.28862417578836,309.10932809474167,387.3917795524883,405.58632715304714,423.3809962122401,1.0521801799194512,1.9972414318473888
2250,303.444730761739,306.2140298463439,309.0374814992133,387.42259130323527,405.56987795440006,423.4096613701562,1.0476201258445388,1.995848016777296
2251,303.36499645489675,306.1247715781851,308.9681863521888,387.4501530389116,405.5683934229854,423.43521750420456,1.0524666690129776,1.9808243344295047
2252,303.29146170483233,306.03833574728594,308.8965848116656,387.4797615238506,405.5725522723752,423.45113946866195,1.0349836173676386,1.9861043119567676
